ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,codeReference,status,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Countries,Family_ID,Language_ID.y
tela1241-aes,tela1241,aes,1,aes-not_endangered,Tela-Masbuar (tvm-tvm) = 6a (Vigorous).,hh:h:Ethnologue:25,NA,not_endangered,Tela-Masbuar,Papunesia,-8.01195,129.687,tela1241,tvm,ID,aust1307,NA
selu1242-aes,selu1242,aes,2,aes-threatened,Seluwasan (sws-sws) = 6b (Threatened).,hh:h:Ethnologue:25,NA,threatened,Seluwasan,Papunesia,-7.59918,131.25,selu1242,sws,ID,aust1307,NA
sela1259-aes,sela1259,aes,2,aes-threatened,Selaru (slu-slu) = 6b* (Threatened).,hh:h:Ethnologue:25,NA,threatened,Selaru,Papunesia,-8.18376,130.961,sela1259,slu,ID,aust1307,NA
teun1241-aes,teun1241,aes,6,aes-extinct,Te’un (tve-tve) = 10 (Extinct).,hh:h:Ethnologue:25,NA,extinct,Te'un,Papunesia,-6.97086,129.143718,teun1241,tve,ID,aust1307,NA
nila1244-aes,nila1244,aes,3,aes-shifting,"Nila (2726-nil) = Threatened (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Nila,Papunesia,-6.734956,129.512131,nila1244,nil,ID,aust1307,NA
seru1245-aes,seru1245,aes,6,aes-extinct,Serua (srw-srw) = 10 (Extinct).,hh:h:Ethnologue:25,NA,extinct,Serua,Papunesia,-6.31107,130.017294,seru1245,srw,ID,aust1307,NA
naue1237-aes,naue1237,aes,3,aes-shifting,"Nauete (2723-nxa) = Endangered (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Nauete,Papunesia,-8.70733,126.741,naue1237,nxa,TL,aust1307,NA
waim1252-aes,waim1252,aes,3,aes-shifting,"Waima'a (2485-wmh) = Threatened (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Waima'a,Papunesia,-8.53416,126.317,waim1252,wmh,TL,aust1307,NA
kair1265-aes,kair1265,aes,3,aes-shifting,"Kairui-Midiki (1812-krd) = Threatened (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Kairui-Midiki,Papunesia,-8.74034,126.059,kair1265,krd,TL,aust1307,NA
habu1241-aes,habu1241,aes,3,aes-shifting,"Habu (1766-hbu) = Threatened (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Habu,Papunesia,-8.76565,125.965,habu1241,hbu,TL,aust1307,NA
tetu1245-aes,tetu1245,aes,1,aes-not_endangered,Tetun (tet-tet) = 5* (Developing). De facto language of national identity.,hh:h:Ethnologue:25,NA,not_endangered,Tetum,Papunesia,-9.11217,125.528,tetu1245,tet,ID;TL,aust1307,NA
tetu1246-aes,tetu1246,aes,1,aes-not_endangered,"Tetun Dili (tdt-tdt) = 1 (National). Statutory national language (2002, Constitution, Article 13).",hh:h:Ethnologue:25,NA,not_endangered,Tetun Dili,Papunesia,-8.58405,125.583,tetu1246,tdt,TL,aust1307,NA
galo1243-aes,galo1243,aes,2,aes-threatened,"Galoli (9169-gal) = Vulnerable (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,threatened,Galoli-Talur,Papunesia,-8.61074,125.959,galo1243,gal,ID;TL,aust1307,NA
iliu1237-aes,iliu1237,aes,2,aes-threatened,Ili’uun (ilu-ilu) = 6b* (Threatened).,hh:h:Ethnologue:25,NA,threatened,Ili'uun,Papunesia,-7.84385,125.902,iliu1237,ilu,ID,aust1307,NA
tugu1245-aes,tugu1245,aes,1,aes-not_endangered,Tugun (tzn-tzn) = 6a (Vigorous).,hh:h:Ethnologue:25,NA,not_endangered,Tugun,Papunesia,-7.72555,126.7,tugu1245,tzn,ID,aust1307,NA
aput1237-aes,aput1237,aes,3,aes-shifting,"Aputai (1347-apx) = Endangered (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Aputai,Papunesia,-7.84732,126.496,aput1237,apx,ID,aust1307,NA
